127.0.0.1 - - [28/May/2018:14:44:22 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/May/2018:14:44:24 +0530] "GET /restcruddemomiddleware/getallstudents HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [28/May/2018:14:45:13 +0530] "DELETE /restcruddemomiddleware/deletestudent?id=6 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/May/2018:14:45:33 +0530] "GET /restcruddemomiddleware/getallstudents HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [28/May/2018:17:22:34 +0530] "GET /spademo/ HTTP/1.1" 200 1073
0:0:0:0:0:0:0:1 - - [28/May/2018:17:22:34 +0530] "GET /spademo/js/app.js HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [28/May/2018:17:22:34 +0530] "GET /spademo/js/controller.js HTTP/1.1" 200 1988
0:0:0:0:0:0:0:1 - - [28/May/2018:17:22:34 +0530] "GET /spademo/js/service.js HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [28/May/2018:17:22:56 +0530] "GET /spademo/ HTTP/1.1" 200 1073
0:0:0:0:0:0:0:1 - - [28/May/2018:17:22:56 +0530] "GET /spademo/js/service.js HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [28/May/2018:17:22:56 +0530] "GET /spademo/js/controller.js HTTP/1.1" 200 1988
0:0:0:0:0:0:0:1 - - [28/May/2018:17:22:56 +0530] "GET /spademo/js/app.js HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [28/May/2018:17:22:56 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/May/2018:17:22:59 +0530] "GET /spademo/views/studentlist.html HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [28/May/2018:17:22:59 +0530] "GET /restcruddemomiddleware/getallstudents HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [28/May/2018:17:23:04 +0530] "DELETE /restcruddemomiddleware/deletestudent?id=5 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/May/2018:17:23:04 +0530] "GET /restcruddemomiddleware/getallstudents HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [28/May/2018:17:23:11 +0530] "GET /spademo/views/studentform.html HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [28/May/2018:17:23:11 +0530] "GET /spademo/js/controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2018:17:23:11 +0530] "GET /spademo/js/service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2018:17:23:11 +0530] "GET /restcruddemomiddleware/getallstudents HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [28/May/2018:17:23:11 +0530] "GET /restcruddemomiddleware/getallstudents HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [28/May/2018:17:23:21 +0530] "POST /restcruddemomiddleware/savestudent HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [28/May/2018:17:23:21 +0530] "GET /restcruddemomiddleware/getallstudents HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [28/May/2018:17:23:27 +0530] "GET /spademo/js/controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2018:17:23:27 +0530] "GET /spademo/js/service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2018:17:23:27 +0530] "GET /restcruddemomiddleware/getallstudents HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [28/May/2018:17:23:27 +0530] "GET /restcruddemomiddleware/getallstudents HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [28/May/2018:17:23:38 +0530] "POST /restcruddemomiddleware/savestudent HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [28/May/2018:17:23:38 +0530] "GET /restcruddemomiddleware/getallstudents HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [28/May/2018:17:23:51 +0530] "GET /spademo/views/aboutus.html HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [28/May/2018:17:23:53 +0530] "GET /spademo/views/home.html HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [28/May/2018:17:23:57 +0530] "GET /spademo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2018:17:23:57 +0530] "GET /spademo/js/controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2018:17:23:57 +0530] "GET /spademo/js/service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2018:17:24:01 +0530] "GET /restcruddemomiddleware/getallstudents HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [28/May/2018:17:24:01 +0530] "GET /restcruddemomiddleware/getallstudents HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [28/May/2018:17:24:03 +0530] "GET /restcruddemomiddleware/getallstudents HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [28/May/2018:19:27:32 +0530] "GET /spademo/views/home.html HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [28/May/2018:19:27:35 +0530] "GET /spademo/views/studentlist.html HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [28/May/2018:19:27:35 +0530] "GET /restcruddemomiddleware/getallstudents HTTP/1.1" 200 268
